,meter_reading,hour,minute,day,month,year
280,987178.0,22,15,3,8,2023
281,987183.0,22,30,3,8,2023
282,987188.0,22,45,3,8,2023
283,987193.0,23,0,3,8,2023
284,987200.0,23,15,3,8,2023
285,987206.0,23,30,3,8,2023
286,987211.0,23,45,3,8,2023
287,987215.0,0,0,4,8,2023
288,987221.0,0,15,4,8,2023
289,987225.0,0,30,4,8,2023
290,987230.0,0,45,4,8,2023
291,987235.0,1,0,4,8,2023
292,987241.0,1,15,4,8,2023
293,987248.0,1,30,4,8,2023
294,987253.0,1,45,4,8,2023
295,987257.0,2,0,4,8,2023
296,987262.0,2,15,4,8,2023
297,987267.0,2,30,4,8,2023
298,987271.0,2,45,4,8,2023
299,987276.0,3,0,4,8,2023
300,987280.0,3,15,4,8,2023
301,987287.0,3,30,4,8,2023
302,987293.0,3,45,4,8,2023
303,987299.0,4,0,4,8,2023
304,987303.0,4,15,4,8,2023
305,987307.0,4,30,4,8,2023
306,987312.0,4,45,4,8,2023
307,987316.0,5,0,4,8,2023
308,987321.0,5,15,4,8,2023
309,987325.0,5,30,4,8,2023
310,987330.0,5,45,4,8,2023
311,987335.0,6,0,4,8,2023
312,987343.0,6,15,4,8,2023
313,987349.0,6,30,4,8,2023
314,987354.0,6,45,4,8,2023
315,987360.0,7,0,4,8,2023
316,987366.0,7,15,4,8,2023
317,987372.0,7,30,4,8,2023
318,987379.0,7,45,4,8,2023
319,987387.0,8,0,4,8,2023
320,987394.0,8,15,4,8,2023
321,987403.0,8,30,4,8,2023
322,987413.0,8,45,4,8,2023
323,987423.0,9,0,4,8,2023
324,987433.0,9,15,4,8,2023
325,987442.0,9,30,4,8,2023
326,987450.0,9,45,4,8,2023
327,987459.0,10,0,4,8,2023
328,987468.0,10,15,4,8,2023
329,987478.0,10,30,4,8,2023
330,987489.0,10,45,4,8,2023
331,987501.0,11,0,4,8,2023
332,987510.0,11,15,4,8,2023
333,987518.0,11,30,4,8,2023
334,987527.0,11,45,4,8,2023
335,987538.0,12,0,4,8,2023
336,987547.0,12,15,4,8,2023
337,987558.0,12,30,4,8,2023
338,987570.0,12,45,4,8,2023
339,987581.0,13,0,4,8,2023
340,987591.0,13,15,4,8,2023
341,987601.0,13,30,4,8,2023
342,987610.0,13,45,4,8,2023
343,987624.0,14,0,4,8,2023
344,987633.0,14,15,4,8,2023
345,987642.0,14,30,4,8,2023
346,987652.0,14,45,4,8,2023
347,987662.0,15,0,4,8,2023
348,987675.0,15,15,4,8,2023
349,987684.0,15,30,4,8,2023
350,987694.0,15,45,4,8,2023
351,987706.0,16,0,4,8,2023
352,987716.0,16,15,4,8,2023
353,987725.0,16,30,4,8,2023
354,987732.0,16,45,4,8,2023
355,987739.0,17,0,4,8,2023
356,987745.0,17,15,4,8,2023
357,987752.0,17,30,4,8,2023
358,987759.0,17,45,4,8,2023
359,987766.0,18,0,4,8,2023
360,987773.0,18,15,4,8,2023
361,987781.0,18,30,4,8,2023
362,987788.0,18,45,4,8,2023
363,987795.0,19,0,4,8,2023
364,987802.0,19,15,4,8,2023
365,987807.0,19,30,4,8,2023
366,987812.0,19,45,4,8,2023
367,987817.0,20,0,4,8,2023
368,987824.0,20,15,4,8,2023
369,987831.0,20,30,4,8,2023
370,987837.0,20,45,4,8,2023
371,987843.0,21,0,4,8,2023
372,987847.0,21,15,4,8,2023
373,987852.0,21,30,4,8,2023
374,987856.0,21,45,4,8,2023
375,987862.0,22,0,4,8,2023
376,987868.0,22,15,4,8,2023
377,987875.0,22,30,4,8,2023
378,987880.0,22,45,4,8,2023
379,987885.0,23,0,4,8,2023
380,987890.0,23,15,4,8,2023
381,987895.0,23,30,4,8,2023
382,987899.0,23,45,4,8,2023
383,987903.0,0,0,5,8,2023
384,987910.0,0,15,5,8,2023
385,987916.0,0,30,5,8,2023
386,987922.0,0,45,5,8,2023
387,987926.0,1,0,5,8,2023
388,987931.0,1,15,5,8,2023
389,987935.0,1,30,5,8,2023
390,987940.0,1,45,5,8,2023
391,987944.0,2,0,5,8,2023
392,987948.0,2,15,5,8,2023
393,987955.0,2,30,5,8,2023
394,987961.0,2,45,5,8,2023
395,987967.0,3,0,5,8,2023
396,987971.0,3,15,5,8,2023
397,987976.0,3,30,5,8,2023
398,987980.0,3,45,5,8,2023
399,987984.0,4,0,5,8,2023
400,987989.0,4,15,5,8,2023
401,987993.0,4,30,5,8,2023
402,987998.0,4,45,5,8,2023
403,988003.0,5,0,5,8,2023
404,988009.0,5,15,5,8,2023
405,988015.0,5,30,5,8,2023
406,988019.0,5,45,5,8,2023
407,988024.0,6,0,5,8,2023
408,988028.0,6,15,5,8,2023
409,988032.0,6,30,5,8,2023
410,988037.0,6,45,5,8,2023
411,988041.0,7,0,5,8,2023
412,988045.0,7,15,5,8,2023
413,988051.0,7,30,5,8,2023
414,988055.0,7,45,5,8,2023
415,988059.0,8,0,5,8,2023
416,988065.0,8,15,5,8,2023
417,988072.0,8,30,5,8,2023
418,988079.0,8,45,5,8,2023
419,988083.0,9,0,5,8,2023
420,988087.0,9,15,5,8,2023
421,988092.0,9,30,5,8,2023
422,988098.0,9,45,5,8,2023
423,988102.0,10,0,5,8,2023
424,988109.0,10,15,5,8,2023
425,988116.0,10,30,5,8,2023
426,988123.0,10,45,5,8,2023
427,988130.0,11,0,5,8,2023
428,988135.0,11,15,5,8,2023
429,988138.0,11,30,5,8,2023
430,988143.0,11,45,5,8,2023
431,988147.0,12,0,5,8,2023
432,988153.0,12,15,5,8,2023
433,988159.0,12,30,5,8,2023
434,988164.0,12,45,5,8,2023
435,988171.0,13,0,5,8,2023
436,988176.0,13,15,5,8,2023
437,988182.0,13,30,5,8,2023
438,988188.0,13,45,5,8,2023
439,988194.0,14,0,5,8,2023
440,988200.0,14,15,5,8,2023
441,988206.0,14,30,5,8,2023
442,988212.0,14,45,5,8,2023
443,988218.0,15,0,5,8,2023
444,988224.0,15,15,5,8,2023
445,988230.0,15,30,5,8,2023
446,988236.0,15,45,5,8,2023
447,988242.0,16,0,5,8,2023
448,988248.0,16,15,5,8,2023
449,988254.0,16,30,5,8,2023
450,988260.0,16,45,5,8,2023
451,988265.0,17,0,5,8,2023
452,988271.0,17,15,5,8,2023
453,988277.0,17,30,5,8,2023
454,988283.0,17,45,5,8,2023
455,988289.0,18,0,5,8,2023
456,988297.0,18,15,5,8,2023
457,988303.0,18,30,5,8,2023
458,988310.0,18,45,5,8,2023
459,988317.0,19,0,5,8,2023
460,988323.0,19,15,5,8,2023
461,988331.0,19,30,5,8,2023
462,988336.0,19,45,5,8,2023
463,988341.0,20,0,5,8,2023
464,988346.0,20,15,5,8,2023
465,988352.0,20,30,5,8,2023
466,988359.0,20,45,5,8,2023
467,988365.0,21,0,5,8,2023
468,988371.0,21,15,5,8,2023
469,988375.0,21,30,5,8,2023
470,988380.0,21,45,5,8,2023
471,988384.0,22,0,5,8,2023
472,988390.0,22,15,5,8,2023
473,988396.0,22,30,5,8,2023
474,988403.0,22,45,5,8,2023
475,988408.0,23,0,5,8,2023
476,988413.0,23,15,5,8,2023
477,988417.0,23,30,5,8,2023
478,988422.0,23,45,5,8,2023
479,988426.0,0,0,6,8,2023
480,988431.0,0,15,6,8,2023
481,988437.0,0,30,6,8,2023
482,988444.0,0,45,6,8,2023
483,988449.0,1,0,6,8,2023
484,988453.0,1,15,6,8,2023
485,988458.0,1,30,6,8,2023
486,988462.0,1,45,6,8,2023
487,988467.0,2,0,6,8,2023
488,988471.0,2,15,6,8,2023
489,988476.0,2,30,6,8,2023
490,988481.0,2,45,6,8,2023
